,level1,level2,level3,info1,info2
15,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ncr00010],D      NCU01870 Eno3 protein,K01689 ENO1_2_3; enolase 1/2/3 [EC:4.2.1.11]
16,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ncr00010],D      NCU06075 ace-8; acetate-8,K00873 PK; pyruvate kinase [EC:2.7.1.40]
17,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ncr00010],D      NCU06482 ace-2; acetate-2,K00161 PDHA; pyruvate dehydrogenase E1 component subunit alpha [EC:1.2.4.1]
18,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ncr00010],D      NCU03004 ace-3; acetate-3,K00162 PDHB; pyruvate dehydrogenase E1 component subunit beta [EC:1.2.4.1]
19,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ncr00010],D      NCU07659 ace-4; acetate-4,K00627 DLAT; pyruvate dehydrogenase E2 component (dihydrolipoyllysine-residue acetyltransferase) [EC:2.3.1.12]
20,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ncr00010],D      NCU02407 dihydrolipoyl dehydrogenase,K00382 DLD; dihydrolipoyl dehydrogenase [EC:1.8.1.4]
21,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ncr00010],D      NCU00720 tca-17; tricarboxylic acid-17,K00016 LDH; L-lactate dehydrogenase [EC:1.1.1.27]
22,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ncr00010],D      NCU02397 ilv-5; isoleucine-valine-5,K01568 PDC; pyruvate decarboxylase [EC:4.1.1.1]
23,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ncr00010],D      NCU02193 cfp; cellular filament polypeptide,K01568 PDC; pyruvate decarboxylase [EC:4.1.1.1]
24,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ncr00010],D      NCU06652 S-(hydroxymethyl)glutathione dehydrogenase,K00121 frmA; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]
25,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ncr00010],D      NCU02476 alcohol dehydrogenase III,"K13953 adhP; alcohol dehydrogenase, propanol-preferring [EC:1.1.1.1]"
26,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ncr00010],D      NCU01754 adh-1; alcohol dehydrogenase-1,"K13953 adhP; alcohol dehydrogenase, propanol-preferring [EC:1.1.1.1]"
27,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ncr00010],D      NCU04823 NADP-dependent alcohol dehydrogenase C,K00002 AKR1A1; alcohol dehydrogenase (NADP+) [EC:1.1.1.2]
28,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ncr00010],D      NCU00260 oxidoreductase,K00002 AKR1A1; alcohol dehydrogenase (NADP+) [EC:1.1.1.2]
29,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ncr00010],D      NCU08402 zinc-binding alcohol dehydrogenase,K00002 AKR1A1; alcohol dehydrogenase (NADP+) [EC:1.1.1.2]
30,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ncr00010],D      NCU03415 aldehyde dehydrogenase,K00128 ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]
31,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ncr00010],D      NCU07053 aldehyde dehydrogenase,K00128 ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]
32,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ncr00010],D      NCU00378 aldehyde dehydrogenase,K00128 ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]
33,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ncr00010],D      NCU06836 acu-5; acetate utilization-5,K01895 ACSS1_2; acetyl-CoA synthetase [EC:6.2.1.1]
34,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ncr00010],D      NCU09705 GAL10,K01785 galM; aldose 1-epimerase [EC:5.1.3.3]
35,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ncr00010],D      NCU08516 aldose 1-epimerase,K01785 galM; aldose 1-epimerase [EC:5.1.3.3]
36,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ncr00010],D      NCU08398 aldose 1-epimerase,K01785 galM; aldose 1-epimerase [EC:5.1.3.3]
37,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ncr00010],D      NCU10058 phosphoglucomutase 2,K01835 pgm; phosphoglucomutase [EC:5.4.2.2]
38,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ncr00010],D      NCU02786 hypothetical protein,K01792 E5.1.3.15; glucose-6-phosphate 1-epimerase [EC:5.1.3.15]
39,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ncr00010],D      NCU09873 acu-6; acetate utilization-6,K01610 pckA; phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49]
40,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00020 Citrate cycle (TCA cycle) [PATH:ncr00020],D      NCU01692 cit-1; citrate synthase,K01647 CS; citrate synthase [EC:2.3.3.1]
41,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00020 Citrate cycle (TCA cycle) [PATH:ncr00020],D      NCU02482 tca-2; tricarboxylic acid-2,K27797 MCSA; 2-methylcitrate synthase [EC:2.3.3.5]
42,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00020 Citrate cycle (TCA cycle) [PATH:ncr00020],D      NCU06783 ATP citrate lyase,K01648 ACLY; ATP citrate (pro-S)-lyase [EC:2.3.3.8]
43,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00020 Citrate cycle (TCA cycle) [PATH:ncr00020],D      NCU06785 ATP-citrate synthase subunit 1,K01648 ACLY; ATP citrate (pro-S)-lyase [EC:2.3.3.8]
44,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00020 Citrate cycle (TCA cycle) [PATH:ncr00020],D      NCU02366 tca-3; tricarboxylic acid-3,K01681 ACO; aconitate hydratase [EC:4.2.1.3]
45,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00020 Citrate cycle (TCA cycle) [PATH:ncr00020],D      NCU03857 tca-5; tricarboxylic acid-5,K00031 IDH1; isocitrate dehydrogenase [EC:1.1.1.42]
46,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00020 Citrate cycle (TCA cycle) [PATH:ncr00020],D      NCU00775 tca-6; tricarboxylic acid-6,K00030 IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]
47,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00020 Citrate cycle (TCA cycle) [PATH:ncr00020],D      NCU07697 tca-4; tricarboxylic acid-4,K00030 IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]
48,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00020 Citrate cycle (TCA cycle) [PATH:ncr00020],D      NCU05425 tca-7; tricarboxylic acid-7,K00164 OGDH; 2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]
49,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00020 Citrate cycle (TCA cycle) [PATH:ncr00020],D      NCU02438 dihydrolipoamide succinyltransferase,K00658 DLST; 2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61]
50,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00020 Citrate cycle (TCA cycle) [PATH:ncr00020],D      NCU02407 dihydrolipoyl dehydrogenase,K00382 DLD; dihydrolipoyl dehydrogenase [EC:1.8.1.4]
51,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00020 Citrate cycle (TCA cycle) [PATH:ncr00020],D      NCU01227 tca-8; tricarboxylic acid-8,K01899 LSC1; succinyl-CoA synthetase alpha subunit [EC:6.2.1.4 6.2.1.5]
52,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00020 Citrate cycle (TCA cycle) [PATH:ncr00020],D      NCU09810 succinyl-CoA synthetase subunit alpha,K01899 LSC1; succinyl-CoA synthetase alpha subunit [EC:6.2.1.4 6.2.1.5]
53,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00020 Citrate cycle (TCA cycle) [PATH:ncr00020],D      NCU08471 tca-9; tricarboxylic acid-9,K01900 LSC2; succinyl-CoA synthetase beta subunit [EC:6.2.1.4 6.2.1.5]
54,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00020 Citrate cycle (TCA cycle) [PATH:ncr00020],D      NCU08336 tca-12; tricarboxylic acid-12,K00234 SDHA; succinate dehydrogenase (ubiquinone) flavoprotein subunit [EC:1.3.5.1]
55,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00020 Citrate cycle (TCA cycle) [PATH:ncr00020],D      NCU00959 tca-10; tricarboxylic acid-10,K00235 SDHB; succinate dehydrogenase (ubiquinone) iron-sulfur subunit [EC:1.3.5.1]
56,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00020 Citrate cycle (TCA cycle) [PATH:ncr00020],D      NCU07756 tca-11; tricarboxylic acid-11,K00236 SDHC; succinate dehydrogenase (ubiquinone) cytochrome b560 subunit
57,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00020 Citrate cycle (TCA cycle) [PATH:ncr00020],D      NCU03031 tca-13; tricarboxylic acid-13,K00237 SDHD; succinate dehydrogenase (ubiquinone) membrane anchor subunit
58,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00020 Citrate cycle (TCA cycle) [PATH:ncr00020],D      NCU10008 tca-14; tricarboxylic acid-14,"K01679 E4.2.1.2B; fumarate hydratase, class II [EC:4.2.1.2]"
59,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00020 Citrate cycle (TCA cycle) [PATH:ncr00020],D      NCU04899 tca-15; tricarboxylic acid-15,K00026 MDH2; malate dehydrogenase [EC:1.1.1.37]
60,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00020 Citrate cycle (TCA cycle) [PATH:ncr00020],D      NCU06211 tca-16; tricarboxylic acid-16,K00026 MDH2; malate dehydrogenase [EC:1.1.1.37]
61,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00020 Citrate cycle (TCA cycle) [PATH:ncr00020],D      NCU02505 suc; succinate,K01958 PC; pyruvate carboxylase [EC:6.4.1.1]
62,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00020 Citrate cycle (TCA cycle) [PATH:ncr00020],D      NCU09873 acu-6; acetate utilization-6,K01610 pckA; phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49]
63,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00020 Citrate cycle (TCA cycle) [PATH:ncr00020],D      NCU06482 ace-2; acetate-2,K00161 PDHA; pyruvate dehydrogenase E1 component subunit alpha [EC:1.2.4.1]
64,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00020 Citrate cycle (TCA cycle) [PATH:ncr00020],D      NCU03004 ace-3; acetate-3,K00162 PDHB; pyruvate dehydrogenase E1 component subunit beta [EC:1.2.4.1]
65,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00020 Citrate cycle (TCA cycle) [PATH:ncr00020],D      NCU07659 ace-4; acetate-4,K00627 DLAT; pyruvate dehydrogenase E2 component (dihydrolipoyllysine-residue acetyltransferase) [EC:2.3.1.12]
66,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00030 Pentose phosphate pathway [PATH:ncr00030],D      NCU07281 gpi-1; glucose-6-phosphate isomerase,K01810 GPI; glucose-6-phosphate isomerase [EC:5.3.1.9]
67,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00030 Pentose phosphate pathway [PATH:ncr00030],D      NCU09111 glucose-6-phosphate 1-dehydrogenase,K00036 G6PD; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]
68,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00030 Pentose phosphate pathway [PATH:ncr00030],D      NCU00087 ppm-1; pentose phosphate metabolism-1,K01057 PGLS; 6-phosphogluconolactonase [EC:3.1.1.31]
69,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00030 Pentose phosphate pathway [PATH:ncr00030],D      NCU03100 ppm-2; pentose phosphate metabolism-2,K00033 PGD; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]
70,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00030 Pentose phosphate pathway [PATH:ncr00030],D      NCU00837 6-phosphogluconate dehydrogenase,K00033 PGD; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]
71,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00030 Pentose phosphate pathway [PATH:ncr00030],D      NCU00519 ribulose-phosphate 3-epimerase,K01783 rpe; ribulose-phosphate 3-epimerase [EC:5.1.3.1]
72,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00030 Pentose phosphate pathway [PATH:ncr00030],D      NCU01328 transketolase,K00615 E2.2.1.1; transketolase [EC:2.2.1.1]
73,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00030 Pentose phosphate pathway [PATH:ncr00030],D      NCU02136 transaldolase,K00616 TALDO1; transaldolase [EC:2.2.1.2]
74,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00030 Pentose phosphate pathway [PATH:ncr00030],D      NCU07608 ppm-3; pentose phosphate metabolism-3,K01807 rpiA; ribose 5-phosphate isomerase A [EC:5.3.1.6]
75,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00030 Pentose phosphate pathway [PATH:ncr00030],D      NCU10107 ribose 5-phosphate isomerase,K01808 rpiB; ribose 5-phosphate isomerase B [EC:5.3.1.6]
76,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00030 Pentose phosphate pathway [PATH:ncr00030],D      NCU06123 phosphoketolase,K01621 xfp; xylulose-5-phosphate/fructose-6-phosphate phosphoketolase [EC:4.1.2.9 4.1.2.22]
77,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00030 Pentose phosphate pathway [PATH:ncr00030],D      NCU05151 phosphoketolase,K01621 xfp; xylulose-5-phosphate/fructose-6-phosphate phosphoketolase [EC:4.1.2.9 4.1.2.22]
78,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00030 Pentose phosphate pathway [PATH:ncr00030],D      NCU07944 deoxyribose-phosphate aldolase,K01619 deoC; deoxyribose-phosphate aldolase [EC:4.1.2.4]
79,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00030 Pentose phosphate pathway [PATH:ncr00030],D      NCU04339 ribokinase,K00852 rbsK; ribokinase [EC:2.7.1.15]
80,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00030 Pentose phosphate pathway [PATH:ncr00030],D      NCU10058 phosphoglucomutase 2,K01835 pgm; phosphoglucomutase [EC:5.4.2.2]
81,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00030 Pentose phosphate pathway [PATH:ncr00030],D      NCU06970 ribose-phosphate pyrophosphokinase II,K00948 PRPS; ribose-phosphate pyrophosphokinase [EC:2.7.6.1]
82,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00030 Pentose phosphate pathway [PATH:ncr00030],D      NCU01786 ribose-phosphate pyrophosphokinase II,K00948 PRPS; ribose-phosphate pyrophosphokinase [EC:2.7.6.1]
83,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00030 Pentose phosphate pathway [PATH:ncr00030],D      NCU05254 ribose-phosphate pyrophosphokinase,K00948 PRPS; ribose-phosphate pyrophosphokinase [EC:2.7.6.1]
84,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00030 Pentose phosphate pathway [PATH:ncr00030],D      NCU01270 rpd; ribose phosphate diphosphokinase,K00948 PRPS; ribose-phosphate pyrophosphokinase [EC:2.7.6.1]
85,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00030 Pentose phosphate pathway [PATH:ncr00030],D      NCU01866 lactonohydrolase,K01053 gnl; gluconolactonase [EC:3.1.1.17]
86,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00030 Pentose phosphate pathway [PATH:ncr00030],D      NCU02702 glucokinase,K00851 idnK; gluconokinase [EC:2.7.1.12]
87,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00030 Pentose phosphate pathway [PATH:ncr00030],D      NCU07626 thermoresistant gluconokinase,K00851 idnK; gluconokinase [EC:2.7.1.12]
88,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00030 Pentose phosphate pathway [PATH:ncr00030],D      NCU07807 fba; fructose bisphosphate aldolase,"K01624 FBA; fructose-bisphosphate aldolase, class II [EC:4.1.2.13]"
89,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00030 Pentose phosphate pathway [PATH:ncr00030],D      NCU04401 fructose-bisphosphate aldolase,"K01624 FBA; fructose-bisphosphate aldolase, class II [EC:4.1.2.13]"
90,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00030 Pentose phosphate pathway [PATH:ncr00030],D      NCU04797 fbp-1; fructose-bisphosphatase-1,"K03841 FBP; fructose-1,6-bisphosphatase I [EC:3.1.3.11]"
91,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00030 Pentose phosphate pathway [PATH:ncr00030],D      NCU00629 emp-3; embden-meyerhof pathway-3,K00850 pfkA; 6-phosphofructokinase 1 [EC:2.7.1.11]
92,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00040 Pentose and glucuronate interconversions [PATH:ncr00040],D      NCU10045 pectinesterase,K01051 E3.1.1.11; pectinesterase [EC:3.1.1.11]
93,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00040 Pentose and glucuronate interconversions [PATH:ncr00040],D      NCU08176 pectate lyase A,K22539 PLY; pectate lyase [EC:4.2.2.2]
94,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00040 Pentose and glucuronate interconversions [PATH:ncr00040],D      NCU06326 pectate lyase 1,K01728 pel; pectate lyase [EC:4.2.2.2]
95,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00040 Pentose and glucuronate interconversions [PATH:ncr00040],D      NCU01904 2-deoxy-D-gluconate 3-dehydrogenase,K00065 kduD; 2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase [EC:1.1.1.127]
96,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00040 Pentose and glucuronate interconversions [PATH:ncr00040],D      NCU02369 gh28-1; glycosylhydrolase family 28-1,K01184 E3.2.1.15; polygalacturonase [EC:3.2.1.15]
97,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00040 Pentose and glucuronate interconversions [PATH:ncr00040],D      NCU06961 gh28-2; glycosylhydrolase family 28-2,"K01213 E3.2.1.67; galacturan 1,4-alpha-galacturonidase [EC:3.2.1.67]"
98,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00040 Pentose and glucuronate interconversions [PATH:ncr00040],D      NCU09533 NAD binding Rossmann fold oxidoreductase,K18106 GAAA; D-galacturonate reductase [EC:1.1.1.-]
99,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00040 Pentose and glucuronate interconversions [PATH:ncr00040],D      NCU01906 GCY protein,K19634 gar1; D-galacturonate reductase [EC:1.1.1.365]
100,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00040 Pentose and glucuronate interconversions [PATH:ncr00040],D      NCU07064 L-galactonate dehydratase,K18102 GAAB; L-galactonate dehydratase [EC:4.2.1.146]
101,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00040 Pentose and glucuronate interconversions [PATH:ncr00040],D      NCU09532 L-threo-3-deoxy-hexulosonate aldolase,K18103 GAAC; L-threo-3-deoxy-hexylosonate aldolase [EC:4.1.2.54]
102,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00040 Pentose and glucuronate interconversions [PATH:ncr00040],D      NCU04936 UDP-glucose 6-dehydrogenase,K00012 UGDH; UDPglucose 6-dehydrogenase [EC:1.1.1.22]
103,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00040 Pentose and glucuronate interconversions [PATH:ncr00040],D      NCU08228 UDP-glucose dehydrogenase,K00012 UGDH; UDPglucose 6-dehydrogenase [EC:1.1.1.22]
104,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00040 Pentose and glucuronate interconversions [PATH:ncr00040],D      NCU02797 UTP-glucose-1-phosphate uridylyltransferase,K00963 UGP2; UTP--glucose-1-phosphate uridylyltransferase [EC:2.7.7.9]
105,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00040 Pentose and glucuronate interconversions [PATH:ncr00040],D      NCU04823 NADP-dependent alcohol dehydrogenase C,K00002 AKR1A1; alcohol dehydrogenase (NADP+) [EC:1.1.1.2]
106,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00040 Pentose and glucuronate interconversions [PATH:ncr00040],D      NCU00260 oxidoreductase,K00002 AKR1A1; alcohol dehydrogenase (NADP+) [EC:1.1.1.2]
107,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00040 Pentose and glucuronate interconversions [PATH:ncr00040],D      NCU08402 zinc-binding alcohol dehydrogenase,K00002 AKR1A1; alcohol dehydrogenase (NADP+) [EC:1.1.1.2]
108,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00040 Pentose and glucuronate interconversions [PATH:ncr00040],D      NCU00519 ribulose-phosphate 3-epimerase,K01783 rpe; ribulose-phosphate 3-epimerase [EC:5.1.3.1]
109,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00040 Pentose and glucuronate interconversions [PATH:ncr00040],D      NCU11353 xyk-1; D-xylulose kinase,K00854 xylB; xylulokinase [EC:2.7.1.17]
110,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00040 Pentose and glucuronate interconversions [PATH:ncr00040],D      NCU08384 xr; xylose reductase,K17743 XYL1; D-xylose reductase [EC:1.1.1.307 1.1.1.430 1.1.1.431]
111,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00040 Pentose and glucuronate interconversions [PATH:ncr00040],D      NCU08943 3-oxoacyl-(acyl-carrier-protein) reductase,K25879 LXRA; L-xylulose reductase [EC:1.1.1.10]
112,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00040 Pentose and glucuronate interconversions [PATH:ncr00040],D      NCU00643 L-arabinitol 4-dehydrogenase,K25880 LADA; L-arabinitol 4-dehydrogenase [EC:1.1.1.12]
113,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00040 Pentose and glucuronate interconversions [PATH:ncr00040],D      NCU00891 xylitol dehydrogenase,K05351 E1.1.1.9; D-xylulose reductase [EC:1.1.1.9]
114,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00040 Pentose and glucuronate interconversions [PATH:ncr00040],D      NCU07022 sorbitol dehydrogenase,K00008 SORD; L-iditol 2-dehydrogenase [EC:1.1.1.14]
115,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00040 Pentose and glucuronate interconversions [PATH:ncr00040],D      NCU01905 sorbitol dehydrogenase,K00008 SORD; L-iditol 2-dehydrogenase [EC:1.1.1.14]
