Gene ID	source_id	Organism	Product Description	Gene Name or Symbol	Curated GO Component IDs	Curated GO Components	Curated GO Function IDs	Curated GO Functions	Curated GO Process IDs	Curated GO Processes	Computed GO Component IDs	Computed GO Components	Computed GO Function IDs	Computed GO Functions	Computed GO Process IDs	Computed GO Processes
NCU00043	NCU00043-t26_1	Neurospora crassa OR74A	serine/threonine-protein phosphatase PP1	pph-3	GO:0005737;GO:0005829;GO:0005847;GO:0005634	cytoplasm;cytosol;mRNA cleavage and polyadenylation specificity factor complex;nucleus	GO:0004721;GO:0004722	phosphoprotein phosphatase activity;protein serine/threonine phosphatase activity	GO:0000077;GO:0006306;GO:0007059;GO:0048315;GO:0045143;GO:0030448;GO:0000226;GO:0006470;GO:0051726;GO:0042752;GO:0007346;GO:0000909	DNA damage checkpoint signaling;DNA methylation;chromosome segregation;conidium formation;homologous chromosome segregation;hyphal growth;microtubule cytoskeleton organization;protein dephosphorylation;regulation of cell cycle;regulation of circadian rhythm;regulation of mitotic cell cycle;sporocarp	GO:0072357;GO:0000164	PTW/PP1 phosphatase complex;protein phosphatase type 1 complex	GO:0016787;GO:0046872;GO:0004722	hydrolase activity;metal ion binding;protein serine/threonine phosphatase activity	N/A	N/A
NCU00045	NCU00045-t26_1	Neurospora crassa OR74A	PHD finger domain-containing protein	N/A	GO:0070776	MOZ/MORF histone acetyltransferase complex	GO:0042393	histone binding	GO:0044154	histone H3-K14 acetylation	N/A	N/A	GO:0046872	metal ion binding	GO:0043972;GO:0006355	histone H3-K23 acetylation;regulation of transcription, DNA-templated
NCU00046	NCU00046-t26_1	Neurospora crassa OR74A	leucine Rich Repeat domain-containing protein, variant 1, leucine Rich Repeat domain-containing protein	N/A	GO:0005737	cytoplasm	GO:0019901	protein kinase binding	N/A	N/A	N/A	N/A	GO:0005515	protein binding	N/A	N/A
NCU00046	NCU00046-t26_2	Neurospora crassa OR74A	leucine Rich Repeat domain-containing protein, variant 1, leucine Rich Repeat domain-containing protein	N/A	GO:0005737	cytoplasm	GO:0019901	protein kinase binding	N/A	N/A	N/A	N/A	GO:0005515	protein binding	N/A	N/A
NCU00047	NCU00047-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU00048	NCU00048-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU00050	NCU00050-t26_1	Neurospora crassa OR74A	pyruvate dehydrogenase X component	ace-11	GO:0005967;GO:0005739	mitochondrial pyruvate dehydrogenase complex;mitochondrion	GO:0004742	dihydrolipoyllysine-residue acetyltransferase activity	GO:0006086	acetyl-CoA biosynthetic process from pyruvate	GO:0005739	mitochondrion	GO:0016746	acyltransferase activity	GO:0005975;GO:0006096	carbohydrate metabolic process;glycolytic process
NCU00051	NCU00051-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A
NCU00052	NCU00052-t26_1	Neurospora crassa OR74A	methylacyl-CoA racemase-1	mcr-1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0008410	CoA-transferase activity	N/A	N/A
NCU00054	NCU00054-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	GO:0005634	nucleus	GO:0000981;GO:0000978;GO:0043565	DNA-binding transcription factor activity, RNA polymerase II-specific;RNA polymerase II cis-regulatory region sequence-specific DNA binding;sequence-specific DNA binding	GO:0000435	positive regulation of transcription from RNA polymerase II promoter by galactose	GO:0016021;GO:0005634	integral component of membrane;nucleus	GO:0003677;GO:0008270	DNA binding;zinc ion binding	GO:0006351	transcription, DNA-templated
NCU00055	NCU00055-t26_1	Neurospora crassa OR74A	catechol dioxygenase-1	cdo-1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0003824;GO:0018576;GO:0008199;GO:0005506;GO:0016702	catalytic activity;catechol 1,2-dioxygenase activity;ferric iron binding;iron ion binding;oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen	GO:0019439;GO:0009712;GO:0006725;GO:0055114	aromatic compound catabolic process;catechol-containing compound metabolic process;cellular aromatic compound metabolic process;obsolete oxidation-reduction process
NCU00056	NCU00056-t26_1	Neurospora crassa OR74A	3-oxoacyl-[acyl-carrier-protein]-synthase	cem-1	N/A	N/A	GO:0004315	3-oxoacyl-[acyl-carrier-protein] synthase activity	GO:0006633	fatty acid biosynthetic process	N/A	N/A	GO:0016747;GO:0003824	acyltransferase activity, transferring groups other than amino-acyl groups;catalytic activity	GO:0006633	fatty acid biosynthetic process
NCU00057	NCU00057-t26_1	Neurospora crassa OR74A	ubiquinol cytochrome-c reductase assembly protein Cbp3	ucc-1	N/A	N/A	N/A	N/A	GO:0034551;GO:0070131	mitochondrial respiratory chain complex III assembly;positive regulation of mitochondrial translation	GO:0005739	mitochondrion	N/A	N/A	N/A	N/A
NCU00059	NCU00059-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	GO:0034599	cellular response to oxidative stress	GO:0005634	nucleus	N/A	N/A	N/A	N/A
NCU00060	NCU00060-t26_1	Neurospora crassa OR74A	WW domain-containing protein, variant 1, WW domain-containing protein, WW domain-containing protein, variant 2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU00060	NCU00060-t26_2	Neurospora crassa OR74A	WW domain-containing protein, variant 1, WW domain-containing protein, WW domain-containing protein, variant 2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU00060	NCU00060-t26_3	Neurospora crassa OR74A	WW domain-containing protein, variant 1, WW domain-containing protein, WW domain-containing protein, variant 2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU00061	NCU00061-t26_1	Neurospora crassa OR74A	hypothetical protein	gh16-13	N/A	N/A	N/A	N/A	N/A	N/A	GO:0016021	integral component of membrane	GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds	GO:0005975	carbohydrate metabolic process
NCU00064	NCU00064-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	GO:0003779	actin binding	GO:0030036;GO:0034599	actin cytoskeleton organization;cellular response to oxidative stress	N/A	N/A	N/A	N/A	N/A	N/A
NCU00065	NCU00065-t26_1	Neurospora crassa OR74A	tRNA-dihydrouridine synthase-2	tdus-2	N/A	N/A	GO:0017150	tRNA dihydrouridine synthase activity	N/A	N/A	N/A	N/A	GO:0003824;GO:0050660;GO:0017150;GO:0102265	catalytic activity;flavin adenine dinucleotide binding;tRNA dihydrouridine synthase activity;tRNA-dihydrouridine47 synthase activity	GO:0055114;GO:0008033	obsolete oxidation-reduction process;tRNA processing
NCU00066	NCU00066-t26_1	Neurospora crassa OR74A	pre-mRNA-splicing factor cwc-22	msp-1	GO:0071013	catalytic step 2 spliceosome	GO:0003723	RNA binding	GO:0000398	mRNA splicing, via spliceosome	GO:0005737	cytoplasm	GO:0003723;GO:0005515	RNA binding;protein binding	N/A	N/A
NCU00067	NCU00067-t26_1	Neurospora crassa OR74A	dolichyl-phosphate mannosyltransferase-2	dpm-2	GO:0033185	dolichol-phosphate-mannose synthase complex	GO:0030234	enzyme regulator activity	GO:0006506;GO:0019348	GPI anchor biosynthetic process;dolichol metabolic process	GO:0030176	integral component of endoplasmic reticulum membrane	GO:0030234;GO:0016757	enzyme regulator activity;glycosyltransferase activity	GO:0019348;GO:0097502;GO:0006486;GO:0050790	dolichol metabolic process;mannosylation;protein glycosylation;regulation of catalytic activity
NCU00068	NCU00068-t26_1	Neurospora crassa OR74A	hypothetical protein, hypothetical protein, variant 1	N/A	GO:0005737	cytoplasm	N/A	N/A	GO:0042594	response to starvation	N/A	N/A	GO:0005515	protein binding	N/A	N/A
NCU00068	NCU00068-t26_2	Neurospora crassa OR74A	hypothetical protein, hypothetical protein, variant 1	N/A	N/A	N/A	N/A	N/A	GO:0034599	cellular response to oxidative stress	N/A	N/A	GO:0005515	protein binding	N/A	N/A
NCU00069	NCU00069-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU00070	NCU00070-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	GO:0033698;GO:0005634	Rpd3L complex;nucleus	GO:0035064	methylated histone binding	N/A	N/A	N/A	N/A	GO:0046872	metal ion binding	N/A	N/A
NCU00071	NCU00071-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU00072	NCU00072-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A
NCU00073	NCU00073-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU00074	NCU00074-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	GO:0034599	cellular response to oxidative stress	N/A	N/A	N/A	N/A	N/A	N/A
NCU00075	NCU00075-t26_1	Neurospora crassa OR74A	mitochondrial import inner membrane translocase subunit tim-14	tim14	GO:0001405	PAM complex, Tim23 associated import motor	GO:0001671	ATPase activator activity	GO:0034599;GO:0030150	cellular response to oxidative stress;protein import into mitochondrial matrix	GO:0016021;GO:0005739	integral component of membrane;mitochondrion	N/A	N/A	GO:0006457;GO:0009408	protein folding;response to heat
NCU00076	NCU00076-t26_1	Neurospora crassa OR74A	QDE-2-interacting protein	qip	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0003676	nucleic acid binding	N/A	N/A
NCU00076	NCU00076-t26_2	Neurospora crassa OR74A	QDE-2-interacting protein	qip	GO:0005641;GO:0048471	nuclear envelope lumen;perinuclear region of cytoplasm	GO:0008408;GO:0004527	3'-5' exonuclease activity;exonuclease activity	GO:0030437;GO:0033168;GO:0031054;GO:0070918;GO:0030582;GO:0043331	ascospore formation;conversion of ds siRNA to ss siRNA involved in RNA interference;pre-miRNA processing;production of small RNA involved in gene silencing by RNA;reproductive fruiting body development;response to dsRNA	N/A	N/A	GO:0003676	nucleic acid binding	N/A	N/A
NCU00077	NCU00077-t26_1	Neurospora crassa OR74A	Ku70/Ku80 family protein	mus-52	N/A	N/A	N/A	N/A	N/A	N/A	GO:0043564;GO:0005634	Ku70:Ku80 complex;nucleus	GO:0003677;GO:0003684;GO:0016817;GO:0042162	DNA binding;damaged DNA binding;hydrolase activity, acting on acid anhydrides;telomeric DNA binding	GO:0006310;GO:0006303;GO:0000723	DNA recombination;double-strand break repair via nonhomologous end joining;telomere maintenance
NCU00078	NCU00078-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A
NCU00079	NCU00079-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU00080	NCU00080-t26_1	Neurospora crassa OR74A	DUF1295 domain-containing protein	N/A	GO:0016020	membrane	N/A	N/A	N/A	N/A	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A
